abbrev,        name,                                        scalerank,        type,             location,                                   country,                        city,                           city_location,              elevation
LRD,           Laredo Int'l,                                8,                mid,              POINT(-99.4556603976513 27.5436657175825),  Mexico,                         Nuevo Laredo,                   POINT(-99.5069 27.4861),    155.0
LSI,           Sumburgh,                                    8,                mid,              POINT(-1.28806068838753 59.8766899598999),  United Kingdom,                 Lerwick,                        POINT(-1.145 60.155),       7.0
LTK,           Bassel Al-Assad Int'l,                       8,                major,            POINT(35.9442407096663 35.4073114596744),   Syria,                          Latakia,                        POINT(35.7833 35.5167),     48.0
LTN,           London Luton,                                8,                major,            POINT(-0.376227267397439 51.8802952570969), United Kingdom,                 Luton,                          POINT(-0.4147 51.8783),     161.0
LYR,           Svalbard Longyear,                           8,                mid,              POINT(15.495229 78.246717),                 Svalbard,                       Longyearbyen,                   POINT(15.6333 78.2167),     27.0
MBJ,           Sangster Int'l,                              8,                mid,              POINT(-77.9183907635752 18.5011549298249),  Jamaica,                        Montego Bay,                    POINT(-77.9167 18.4667),    2.0
MDL,           Mandalay Int'l,                              8,                mid,              POINT(95.9706535950217 21.7055490680274),   Myanmar,                        Mandalay,                       POINT(96.0844 21.9831),     92.0
MDW,           Chicago Midway Int'l,                        8,                major,            POINT(-87.7421266885612 41.7883492597409),  United States,                  Chicago,                        POINT(-87.6866 41.8375),    189.0
MEC,           Eloy Alfaro Int'l,                           8,                mid:military,     POINT(-80.6833845995774 -0.949557002112883),Ecuador,                        Portoviejo,                     POINT(-80.4553 -1.0561),    14.0
MGM,           Montgomery Reg.,                             8,                major,            POINT(-86.3903074602686 32.3045879909631),  United States,                  Prattville,                     POINT(-86.4573 32.4597),    
MHT,           Manchester-Boston Reg.,                      8,                major,            POINT(-71.4375239091857 42.9279139945886),  United States,                  Nashua,                         POINT(-71.491 42.7491),     
DNMA,          Maiduguri Int'l,                             8,                mid,              POINT(13.0851390162471 11.8534713188527),   Nigeria,                        Maiduguri,                      POINT(13.15 11.8333),       
MJM,           Mbuji Mayi,                                  8,                mid,              POINT(23.5721091989052 -6.12484541348812),  Congo (Kinshasa),               Mbuji-Mayi,                     POINT(23.6 -6.15),          677.0
MOT,           Minot Int'l,                                 8,                mid,              POINT(-101.2913855313 48.2556049212839),    United States,                  Minot,                          POINT(-101.278 48.2375),    519.0
MSO,           Missoula Int'l,                              8,                mid,              POINT(-114.083694923651 46.9187604768831),  United States,                  Missoula,                       POINT(-114.0214 46.8751),   
MXL,           Gen R.S. Taboada Int'l,                      8,                mid,              POINT(-115.247874047841 32.6285643324607),  Mexico,                         Mexicali,                       POINT(-115.4678 32.6633),   22.0
MXP,           Malpensa,                                    8,                major,            POINT(8.71295953502437 45.6274405140381),   Italy,                          Gallarate,                      POINT(8.7914 45.6649),      234.0
NLK,           Norfolk Island,                              8,                mid,              POINT(167.943394116205 -29.0351592555275),  ,                               ,,                                                          114.0
NUE,           Nurnberg,                                    8,                major,            POINT(11.0774179739096 49.4945052170345),   Germany,                        Nuremberg,                      POINT(11.0775 49.4539),     319.0
ODS,           Odessa Int'l,                                8,                major,            POINT(30.6768308310206 46.4406268759106),   Ukraine,                        Odesa,                          POINT(30.7326 46.4775),     53.0
OOL,           Gold Coast,                                  8,                mid,              POINT(153.512876264303 -28.1665168540202),  Australia,                      Gold Coast,                     POINT(153.4 -28.0167),      7.0
ORN,           Oran Es Senia,                               8,                mid,              POINT(-0.60679696443112 35.6202747312734),  Algeria,                        Oran,                           POINT(-0.6331 35.6969),     90.0
PAT,           Lok Nayak Jaiprakash,                        8,                mid,              POINT(85.0909021314663 25.5944434295605),   India,                          Patna,                          POINT(85.1 25.6),           52.0
PDU,           Paysandu,                                    8,                mid,              POINT(-58.0685346825257 -32.3614545292723), Uruguay,                        Paysandú,                       POINT(-58.0756 -32.3214),   54.0
PFO,           Paphos Int'l,                                8,                major,            POINT(32.4832322064926 34.7134012817335),   Cyprus,                         Paphos,                         POINT(32.4167 34.7667),     13.0
PLM,           Sultan Mahmud Badaruddin II,                 8,                mid,              POINT(104.699128326762 -2.89999345005997),  Indonesia,                      Palembang,                      POINT(104.7556 -2.9861),    12.0
PTG,           Polokwane Int'l,                             8,                mid,              POINT(29.4533403645644 -23.858986270166),   South Africa,                   Polokwane,                      POINT(29.45 -23.9),         1328.0
PUJ,           Punta Cana,                                  8,                mid,              POINT(-68.3632351074649 18.563039033987),   Dominican Republic,             Pantanal,                       POINT(-68.3667 18.5333),    13.0
QRO,           Queretaro Int'l,                             8,                mid,              POINT(-100.18735943003 20.622466071278),    Mexico,                         Querétaro,                      POINT(-100.3928 20.5875),   1970.0
RAJ,           Rajkot,                                      8,                mid,              POINT(70.7799548311565 22.3092816988361),   India,                          Rājkot,                         POINT(70.7833 22.3),        135.0
RIC,           Richmond Int'l,                              8,                major,            POINT(-77.333119638113 37.5082899750901),   United States,                  Highland Springs,               POINT(-77.3285 37.5516),    51.0
RJH,           Shah Makhdum,                                8,                mid,              POINT(88.6138045704431 24.4448068623035),   Bangladesh,                     Rājshāhi,                       POINT(88.6 24.3667),        17.0
ROC,           Greater Rochester Int'l,                     8,                major,            POINT(-77.6652445062197 43.1275519826482),  United States,                  Greece,                         POINT(-77.6988 43.246),     171.0
ROK,           Rockhampton,                                 8,                mid,              POINT(150.478897 -23.378599),               Australia,                      Gracemere,                      POINT(150.4558 -23.4391),   11.0
